CCSR Diagnosis Code  CCSR Procedure Code
                     IMG004                     6
                     RHB002                     6
                     GNR002                     5
                     HEP010                     5
                     MAM015                     5
                     RES005                     5
                     SKB006                     5
                     URN001                     5
                     ADM006                     4
                     ADM012                     4
                     ADM014                     4
                     FRS015                     4
                     IMG009                     4
                     MST004                     4
                     MST005                     4
                     MST028                     4
                     SKB001                     4
                     ADM013                     3
                     CAR004                     3
                     CAR026                     3
                     FRS001                     3
                     FRS003                     3
                     GIS012                     3
                     HEP006                     3
                     RES001                     3
                     SKB009                     3
                     ADM005                     2
                     CAR029                     2
                     CNS002                     2
                     ESA005                     2
                     GIS025                     2
                     HEP001                     2
                     HEP003                     2
                     IMG001                     2
                     IMG003                     2
                     MRS004                     2
                     MST003                     2
                     MST018                     2
                     MST019                     2
                     PLC001                     2
                     RES003                     2
                     RES006                     2
                     URN002                     2
                     URN007                     2
                     URN012                     2
                     ADM003                     1
                     ADM020                     1
                     ADM022                     1
                     CAR001                     1
                     CAR003                     1
                     CAR007                     1
                     CAR009                     1
                     CAR012                     1
                     CAR015                     1
                     CAR018                     1
                     CAR021                     1
                     ENT002                     1
                     ENT015                     1
                     ESA006                     1
                     EST001                     1
                     EST002                     1
                     FRS010                     1
                     GIS010                     1
                     GIS019                     1
                     GIS026                     1
                     GNR003                     1
                     GNR010                     1
                     HEP007                     1
                     HEP013                     1
                     LYM001                     1
                     LYM007                     1
                     LYM011                     1
                     MAM004                     1
                     MST007                     1
                     MST009                     1
                     MST012                     1
                     MST024                     1
                     RAD001                     1
                     RES009                     1
                     RES010                     1
                     RES011                     1
                     SKB008                     1
                     SUD002                     1
                     URN004                     1
                     URN009                     1
DIG014               GIS004                   348
                     ADM001                   177
                     CAR020                   151
                     GIS001                   123
                     GIS002                   115
                     GIS016                    68
                     ADM021                    59
                     CAR010                    55
                     ADM017                    33
                     ESA001                    27
                     OTR004                    24
                     IMG008                    16
                     ADM015                    11
                     GNR004                    11
                     IMG006                    11
                     CAR024                     8
                     GIS006                     7
                     MAM006                     7
                     ADM019                     6
                     IMG007                     5
                     ADM022                     4
                     ESA004                     4
                     MAM005                     4
                     GIS007                     3
                     MST001                     3
                     ADM002                     2
                     ADM004                     2
                     ADM016                     2
                     CAR007                     2
                     CAR028                     2
                     GIS003                     2
                     GIS005                     2
                     GIS009                     2
                     GIS013                     2
                     GIS024                     2
                     GIS025                     2
                     GIS027                     2
                     GIS029                     2
                     MST028                     2
                     RES005                     2
                     SUD001                     2
                     ADM013                     1
                     ADM014                     1
                     ADM018                     1
                     CAR011                     1
                     CAR016                     1
                     CAR021                     1
                     CAR026                     1
                     CAR029                     1
                     ENT001                     1
                     ENT002                     1
                     ESA003                     1
                     FRS003                     1
                     GIS020                     1
                     GIS028                     1
                     HEP003                     1
                     IMG002                     1
                     IMG004                     1
                     IMG009                     1
                     LYM005                     1
                     MAM007                     1
                     MAM008                     1
                     MAM011                     1
                     MAM015                     1
                     MST005                     1
                     MST020                     1
                     RES001                     1
                     RES002                     1
                     SKB006                     1
                     SUD002                     1
                     URN006                     1
DIG015               GIS028                   158
                     GIS020                   121
                     GIS004                   113
                     GIS002                   111
                     GIS016                   109
                     GNR004                    97
                     GIS009                    88
                     ADM001                    75
                     GIS013                    56
                     GIS029                    41
                     GIS018                    29
                     ADM015                    28
                     OTR004                    28
                     GIS001                    27
                     ADM021                    19
                     GIS007                    15
                     ADM017                    14
                     CAR024                    14
                     GIS021                    11
                     IMG006                    11
                     URN006                    11
                     ESA001                    10
                     GIS003                     8
                     ADM014                     6
                     GIS006                     6
                     IMG008                     6
                     GIS005                     5
                     MST020                     5
                     CAR020                     4
                     ESA003                     4
                     ESA004                     4
                     FRS001                     4
                     MAM011                     4
                     MST028                     4
                     IMG004                     3
                     ADM010                     2
                     ADM019                     2
                     CAR025                     2
                     CAR028                     2
                     CNS002                     2
                     GIS011                     2
                     GIS017                     2
                     GIS022                     2
                     MAM006                     2
                     MST005                     2
                     RES005                     2
                     SKB010                     2
                     ADM002                     1
                     ADM004                     1
                     ADM007                     1
                     CAR007                     1
                     CAR008                     1
                     CAR010                     1
                     CAR015                     1
                     CAR016                     1
                     CAR018                     1
                     CAR026                     1
                     CNS012                     1
                     FRS005                     1
                     FRS015                     1
                     GIS008                     1
                     GIS012                     1
                     GNR005                     1
                     HEP001                     1
                     IMG007                     1
                     LYM007                     1
                     MAM005                     1
                     MAM007                     1
                     MRS001                     1
                     MST001                     1
                     MST002                     1
                     MST003                     1
                     RES007                     1
                     SKB001                     1
                     SKB002                     1
                     SKB006                     1
                     SKB009                     1
                     SUD002                     1
                     URN003                     1
                     URN005                     1
DIG016               GIS007                   660
                     GIS006                   479
                     HEP010                   153
                     MST005                   123
                     ADM015                    93
                     CAR024                    72
                     MST004                    66
                     GNR009                    59
                     GIS003                    50
                     GIS024                    36
                     ADM001                    35
                     HEP001                    34
                     GIS004                    31
                     GNR008                    30
                     MST020                    28
                     GIS020                    25
                     ADM021                    22
                     ADM013                    21
                     ADM017                    21
                     MST003                    20
                     GIS018                    19
                     OTR004                    19
                     GIS001                    18
                     IMG006                    18
                     ESA001                    17
                     GIS002                    17
                     SKB002                    17
                     GIS016                    16
                     MRS005                    16
                     GIS009                    15
                     GIS013                    12
                     IMG008                    11
                     GIS005                    10
                     GIS011                    10
                     GIS022                     8
                     HEP004                     8
                     URN006                     8
                     GIS015                     7
                     HEP008                     6
                     RES005                     6
                     SKB001                     6
                     CNS002                     5
                     ADM014                     4
                     ADM019                     4
                     GIS021                     4
                     GIS028                     4
                     IMG007                     4
                     MST019                     4
                     CAR010                     3
                     ESA004                     3
                     FRS015                     3
                     GIS017                     3
                     HEP007                     3
                     RHB002                     3
                     SKB008                     3
                     ADM012                     2
                     CAR008                     2
                     CAR017                     2
                     CAR020                     2
                     ESA003                     2
                     FRS001                     2
                     GIS008                     2
                     GIS025                     2
                     GIS029                     2
                     GNR004                     2
                     HEP009                     2
                     IMG004                     2
                     MAM005                     2
                     MAM010                     2
                     URN002                     2
                     URN003                     2
                     URN005                     2
                     URN008                     2
                     ADM002                     1
                     ADM005                     1
                     ADM007                     1
                     ADM010                     1
                     ADM018                     1
                     CAR007                     1
                     CAR015                     1
                     CAR025                     1
                     CAR029                     1
                     FRS002                     1
                     FRS003                     1
                     GIS010                     1
                     GIS019                     1
                     GIS027                     1
                     GNR002                     1
                     GNR003                     1
                     HEP006                     1
                     IMG002                     1
                     IMG005                     1
                     LYM001                     1
                     LYM007                     1
                     MAM006                     1
                     MAM007                     1
                     MAM011                     1
                     MAM015                     1
                     MRS003                     1
                     MST002                     1
                     MST013                     1
                     MST028                     1
                     PLC002                     1
                     RES003                     1
                     RES007                     1
                     RES008                     1
                     RES010                     1
                     SKB010                     1
                     SUD001                     1
                     SUD002                     1
                     URN011                     1
                     URN012                     1
DIG017               HEP006                 11889
                     HEP007                  1479
                     HEP010                  1177
                     HEP008                  1125
                     ADM015                   406
                     GIS001                   240
                     HEP003                   223
                     ADM021                   215
                     GIS004                   207
                     HEP009                   172
                     OTR004                   167
                     IMG008                   122
                     ADM017                   112
                     ESA001                    85
                     CAR024                    82
                     IMG004                    73
                     IMG006                    69
                     IMG005                    66
                     ADM001                    62
                     HEP001                    59
                     HEP013                    53
                     HEP004                    51
                     GIS006                    42
                     ADM019                    28
                     ESA004                    25
                     GIS022                    22
                     GIS027                    21
                     MAM005                    21
                     HEP002                    19
                     HEP011                    17
                     GIS005                    16
                     IMG007                    16
                     URN006                    16
                     MAM006                    14
                     GNR002                    12
                     ADM010                    11
                     HEP005                    11
                     LYM001                    11
                     NCM001                    11
                     RES005                    11
                     GIS025                    10
                     ESA003                     9
                     GIS002                     9
                     SUD001                     9
                     ADM002                     8
                     CAR025                     8
                     GIS017                     8
                     GNR004                     8
                     MAM007                     8
                     RES007                     8
                     ADM014                     7
                     ADM016                     7
                     MAM011                     7
                     GIS007                     6
                     GIS021                     6
                     MAM015                     6
                     ADM006                     5
                     GIS008                     5
                     GIS024                     5
                     GIS026                     5
                     NCM002                     5
                     OTR001                     5
                     CAR010                     4
                     GIS010                     4
                     GIS016                     4
                     GNR008                     4
                     MAM008                     4
                     MST020                     4
                     MST028                     4
                     SUD002                     4
                     CAR008                     3
                     CAR011                     3
                     CAR026                     3
                     GIS009                     3
                     GNR009                     3
                     IMG009                     3
                     IMG010                     3
                     MST005                     3
                     SKB006                     3
                     URN003                     3
                     URN005                     3
                     ADM018                     2
                     ADM022                     2
                     CAR004                     2
                     ENT003                     2
                     ESA005                     2
                     LYM007                     2
                     MAM004                     2
                     MST001                     2
                     MST004                     2
                     PGN002                     2
                     RES002                     2
                     RES003                     2
                     RES011                     2
                     RHB002                     2
                     URN002                     2
                     ADM005                     1
                     ADM007                     1
                     ADM012                     1
                     ADM020                     1
                     CAR003                     1
                     CAR016                     1
                     CAR029                     1
                     CNS001                     1
                     CNS002                     1
                     ENT006                     1
                     ENT017                     1
                     ESA006                     1
                     EYP002                     1
                     FRS015                     1
                     GIS011                     1
                     GNR003                     1
                     GNR005                     1
                     IMG001                     1
                     IMG003                     1
                     MHT005                     1
                     MST010                     1
                     MST015                     1
                     MST017                     1
                     MST019                     1
                     MST029                     1
                     MST030                     1
                     OTR003                     1
                     PLC001                     1
                     RES010                     1
                     SKB008                     1
                     URN001                     1
                     URN008                     1
DIG018               GIS006                   568
                     HEP011                   126
                     ADM021                   114
                     CAR024                   108
                     ADM001                   107
                     GIS004                    71
                     ESA003                    67
                     ESA001                    65
                     RES007                    46
                     ADM015                    45
                     HEP001                    45
                     ADM017                    43
                     OTR004                    42
                     IMG008                    36
                     MAM011                    34
                     GIS001                    33
                     ESA004                    24
                     GIS017                    23
                     GIS027                    22
                     IMG007                    20
                     SUD001                    19
                     MAM010                    18
                     ADM002                    17
                     ADM003                    17
                     RES005                    17
                     ADM019                    15
                     GIS025                    15
                     CNS002                    13
                     IMG006                    13
                     URN006                    13
                     CAR010                    11
                     CAR016                    11
                     MAM007                    10
                     CAR029                     8
                     GNR004                     7
                     MAM005                     7
                     ADM014                     6
                     GIS007                     6
                     GIS016                     6
                     SUD002                     6
                     ADM006                     5
                     HEP008                     5
                     MAM008                     5
                     RES001                     5
                     RES010                     5
                     ADM007                     4
                     ADM022                     4
                     CAR025                     4
                     ESA005                     4
                     GIS005                     4
                     HEP003                     4
                     HEP010                     4
                     IMG005                     4
                     SKB006                     4
                     ADM018                     3
                     GIS002                     3
                     RES003                     3
                     ADM005                     2
                     ADM010                     2
                     ADM012                     2
                     CAR011                     2
                     CAR015                     2
                     CAR028                     2
                     CNS004                     2
                     FRS015                     2
                     IMG001                     2
                     IMG002                     2
                     IMG004                     2
                     LYM007                     2
                     MAM002                     2
                     MAM006                     2
                     MST005                     2
                     RHB002                     2
                     SKB001                     2
                     URN004                     2
                     ADM013                     1
                     ADM016                     1
                     ADM020                     1
                     CAR004                     1
                     CNS005                     1
                     ENT015                     1
                     ESA006                     1
                     GIS022                     1
                     GNR008                     1
                     HEP007                     1
                     HEP009                     1
                     IMG009                     1
                     LYM001                     1
                     LYM008                     1
                     MAM001                     1
                     MAM004                     1
                     MST003                     1
                     MST010                     1
                     MST015                     1
                     PLC002                     1
                     RES008                     1
                     SKB009                     1
                     URN003                     1
                     URN005                     1
DIG019               GIS006                  3609
                     GIS027                   662
                     ADM001                   394
                     GIS004                   349
                     HEP011                   290
                     ADM021                   222
                     GIS001                   199
                     CAR024                   171
                     CAR016                   169
                     HEP001                   151
                     RES005                   125
                     ESA003                    98
                     ADM017                    81
                     IMG008                    81
                     HEP004                    80
                     OTR004                    77
                     ESA001                    76
                     ADM015                    72
                     GNR004                    72
                     ADM002                    49
                     RES007                    49
                     SUD001                    46
                     CAR010                    42
                     ESA004                    31
                     MAM011                    29
                     GIS016                    25
                     IMG006                    24
                     GIS002                    21
                     IMG007                    21
                     RES003                    19
                     GIS017                    18
                     HEP010                    18
                     URN006                    16
                     IMG005                    15
                     MAM005                    15
                     GIS005                    14
                     ADM006                    13
                     GIS024                    13
                     ADM003                    12
                     ADM019                    12
                     HEP008                    12
                     GIS007                    11
                     RES010                    11
                     ADM010                    10
                     CAR029                    10
                     CAR025                     9
                     CNS002                     9
                     ADM022                     7
                     CAR017                     7
                     ESA005                     7
                     MAM007                     7
                     SUD002                     7
                     ADM016                     6
                     CAR011                     6
                     HEP003                     6
                     HEP006                     6
                     MST020                     6
                     CAR008                     5
                     CAR028                     5
                     HEP007                     5
                     IMG002                     5
                     MAM006                     5
                     SKB001                     5
                     ADM014                     4
                     GIS025                     4
                     HEP009                     4
                     IMG009                     4
                     RES001                     4
                     RES004                     4
                     SKB008                     4
                     URN002                     4
                     ADM007                     3
                     CAR004                     3
                     ENT001                     3
                     EST001                     3
                     FRS015                     3
                     GIS009                     3
                     GNR008                     3
                     IMG001                     3
                     LYM001                     3
                     MAM008                     3
                     MAM010                     3
                     MST028                     3
                     NCM001                     3
                     PLC002                     3
                     RES006                     3
                     SKB006                     3
                     ADM004                     2
                     ADM012                     2
                     ESA002                     2
                     ESA006                     2
                     GIS003                     2
                     GNR007                     2
                     IMG003                     2
                     IMG004                     2
                     LYM007                     2
                     LYM008                     2
                     MAM002                     2
                     MST001                     2
                     MST010                     2
                     RES002                     2
                     RES014                     2
                     RHB002                     2
                     SKB009                     2
                     URN001                     2
                     URN003                     2
                     ADM005                     1
                     ADM018                     1
                     CAR009                     1
                     CAR015                     1
                     CAR020                     1
                     CAR023                     1
                     CAR026                     1
                     CNS004                     1
                     ENP002                     1
                     ENT005                     1
                     ENT013                     1
                     ENT015                     1
                     FRS011                     1
                     GIS010                     1
                     GIS011                     1
                     GIS026                     1
                     GNR002                     1
                     GNR003                     1
                     GNR005                     1
                     GNR006                     1
                     MAM004                     1
                     MAM015                     1
                     MHT003                     1
                     MHT005                     1
                     MRS001                     1
                     MST002                     1
                     MST004                     1
                     MST018                     1
                     MST030                     1
                     PLC001                     1
                     RHB003                     1
                     SUD004                     1
DIG020               HEP006                  1298
                     ADM021                   562
                     ADM017                   478
                     GIS001                   308
                     CAR024                   262
                     SUD001                   258
                     OTR004                   233
                     ADM015                   230
                     GIS004                   219
                     HEP010                   214
                     IMG006                   194
                     HEP008                   165
                     HEP007                   149
                     HEP005                   144
                     HEP003                   122
                     IMG008                   121
                     ADM014                   117
                     ESA001                    99
                     HEP009                    88
                     ADM001                    87
                     GIS006                    81
                     ESA004                    79
                     IMG005                    58
                     IMG007                    46
                     ADM019                    45
                     ESA003                    41
                     GIS007                    29
                     MAM007                    29
                     RES007                    26
                     HEP002                    24
                     RES005                    24
                     GIS002                    22
                     HEP013                    22
                     ADM007                    21
                     ADM016                    20
                     GIS027                    17
                     HEP001                    17
                     ADM010                    16
                     GIS025                    16
                     SUD002                    15
                     MAM010                    14
                     URN006                    13
                     GIS016                    12
                     GIS017                    12
                     RES010                    12
                     IMG004                    11
                     MAM005                    10
                     MAM011                     9
                     EST001                     8
                     MAM015                     8
                     CAR010                     7
                     MAM008                     7
                     MST001                     7
                     SKB006                     7
                     ADM002                     6
                     ADM020                     6
                     CNS002                     6
                     GIS005                     6
                     NCM001                     6
                     RES003                     6
                     ADM013                     5
                     ADM022                     5
                     CAR011                     5
                     ENT015                     5
                     GIS024                     5
                     GNR009                     5
                     IMG002                     5
                     LYM005                     5
                     LYM007                     5
                     MAM006                     5
                     RHB002                     5
                     ADM012                     4
                     CAR008                     4
                     CAR026                     4
                     ESA005                     4
                     GIS008                     4
                     GIS021                     4
                     GIS022                     4
                     IMG001                     4
                     IMG009                     4
                     LYM001                     4
                     RES001                     4
                     SKB001                     4
                     URN002                     4
                     ADM003                     3
                     ADM006                     3
                     CAR025                     3
                     CAR029                     3
                     GNR008                     3
                     IMG010                     3
                     MST005                     3
                     ADM005                     2
                     CAR004                     2
                     CAR017                     2
                     CAR021                     2
                     GIS009                     2
                     GIS010                     2
                     GIS019                     2
                     GNR002                     2
                     GNR004                     2
                     HEP004                     2
                     LYM006                     2
                     MAM001                     2
                     MAM004                     2
                     MST028                     2
                     RES004                     2
                     SKB002                     2
                     SKB009                     2
                     URN001                     2
                     ADM004                     1
                     CAR006                     1
                     CAR015                     1
                     CAR016                     1
                     CNS013                     1
                     CNS014                     1
                     ENT001                     1
                     ENT006                     1
                     ESA008                     1
                     GIS011                     1
                     GIS014                     1
                     GIS015                     1
                     GIS026                     1
                     GIS028                     1
                     GIS029                     1
                     IMG003                     1
                     LYM008                     1
                     MAM002                     1
                     MHT002                     1
                     MST007                     1
                     MST009                     1
                     MST013                     1
                     MST015                     1
                     MST020                     1
                     NCM002                     1
                     RAD004                     1
                     RES002                     1
                     RHB001                     1
                     SKB008                     1
                     URN003                     1
                     URN004                     1
                     URN009                     1
DIG021               GIS001                  3371
                     ADM001                  2811
                     GIS004                  2496
                     GNR004                  1172
                     ADM021                   398
                     GIS002                   350
                     GIS016                   290
                     CAR024                   218
                     CAR010                   202
                     ESA001                   202
                     OTR004                   198
                     ADM017                   157
                     ESA003                   118
                     ADM015                    76
                     GIS027                    64
                     RES007                    64
                     GIS006                    63
                     GIS005                    59
                     IMG008                    56
                     ESA004                    55
                     ADM019                    54
                     GIS021                    50
                     CAR028                    49
                     ADM002                    47
                     IMG006                    46
                     GIS007                    41
                     ADM004                    29
                     URN006                    26
                     CAR011                    24
                     SUD001                    24
                     IMG007                    21
                     RES005                    21
                     GIS010                    19
                     MAM011                    18
                     GIS025                    17
                     MAM005                    16
                     RES010                    16
                     CAR025                    15
                     GIS019                    15
                     IMG002                    15
                     MAM006                    15
                     MAM007                    14
                     MST020                    14
                     GIS029                    13
                     CAR008                    12
                     GIS009                    12
