CCSR Diagnosis Code  CCSR Procedure Code
                     RES005                     2
                     RES010                     2
                     SKB007                     2
                     ADM007                     1
                     ADM012                     1
                     CAR006                     1
                     CAR021                     1
                     CNS002                     1
                     ENT013                     1
                     ENT017                     1
                     ESA006                     1
                     FRS002                     1
                     FRS006                     1
                     FRS012                     1
                     FRS013                     1
                     GIS003                     1
                     GIS025                     1
                     GNR002                     1
                     GNR010                     1
                     HEP001                     1
                     HEP006                     1
                     HEP007                     1
                     HEP008                     1
                     HEP010                     1
                     IMG003                     1
                     LYM003                     1
                     LYM008                     1
                     MAM002                     1
                     MAM004                     1
                     MAM006                     1
                     MAM007                     1
                     MAM008                     1
                     MAM011                     1
                     MRS003                     1
                     MST002                     1
                     MST013                     1
                     MST018                     1
                     MST023                     1
                     MST029                     1
                     PGN001                     1
                     PGN003                     1
                     PGN006                     1
                     RES003                     1
                     RES011                     1
                     RES014                     1
                     RHB002                     1
                     SUD001                     1
                     SUD002                     1
                     URN001                     1
                     URN004                     1
                     URN008                     1
                     URN009                     1
BLD005               ADM001                  1615
                     ADM021                   695
                     CAR024                   286
                     ADM014                   275
                     ADM017                   227
                     ADM015                   207
                     OTR004                   193
                     ESA001                   100
                     IMG008                    71
                     ADM019                    63
                     ESA004                    54
                     IMG009                    31
                     CAR025                    28
                     ADM016                    27
                     ADM005                    24
                     IMG006                    19
                     EST001                    18
                     ESA003                    17
                     MST001                    16
                     MAM007                    15
                     ADM012                    14
                     ADM011                    11
                     IMG007                    10
                     LYM005                    10
                     MRS002                    10
                     MST007                    10
                     ADM010                     9
                     MAM008                     9
                     MAM011                     9
                     ENT015                     8
                     GIS001                     7
                     IMG005                     7
                     MAM010                     7
                     ADM022                     6
                     ADM018                     5
                     GIS004                     5
                     HEP006                     5
                     MAM015                     5
                     MST005                     5
                     ADM003                     4
                     GIS006                     4
                     GIS017                     4
                     RES001                     4
                     RHB002                     4
                     SUD002                     4
                     FRS015                     3
                     HEP001                     3
                     IMG002                     3
                     RES007                     3
                     ADM002                     2
                     ADM006                     2
                     ADM007                     2
                     ADM013                     2
                     ADM020                     2
                     CAR008                     2
                     CAR021                     2
                     CNS002                     2
                     GIS025                     2
                     HEP010                     2
                     LYM007                     2
                     MST002                     2
                     MST020                     2
                     SKB001                     2
                     CAR002                     1
                     CAR015                     1
                     CAR018                     1
                     CAR029                     1
                     CNS004                     1
                     CNS009                     1
                     ENT003                     1
                     ENT013                     1
                     ENT017                     1
                     ESA002                     1
                     ESA006                     1
                     EST005                     1
                     EYP001                     1
                     GIS002                     1
                     GIS005                     1
                     GIS007                     1
                     GIS008                     1
                     GIS019                     1
                     GNR008                     1
                     HEP007                     1
                     HEP008                     1
                     IMG001                     1
                     LYM001                     1
                     MAM005                     1
                     MAM006                     1
                     MHT005                     1
                     MST004                     1
                     MST008                     1
                     MST017                     1
                     MST018                     1
                     MST019                     1
                     MST028                     1
                     RES005                     1
                     SKB006                     1
                     URN002                     1
                     URN011                     1
BLD006               ADM001                   769
                     ADM003                   321
                     GIS004                   174
                     GIS001                   133
                     ADM021                    74
                     LYM007                    68
                     GNR004                    62
                     OTR004                    60
                     ADM002                    57
                     CAR024                    54
                     PLC002                    49
                     ADM004                    47
                     GIS002                    41
                     ESA001                    38
                     ADM017                    31
                     IMG008                    31
                     CAR028                    30
                     ADM012                    26
                     ADM016                    25
                     GIS016                    25
                     SKB001                    22
                     ADM015                    20
                     EST001                    20
                     URN006                    18
                     ADM018                    16
                     CAR010                    16
                     ESA004                    14
                     GIS006                    13
                     CAR025                    12
                     LYM005                    12
                     ESA003                    11
                     RES007                    11
                     IMG006                     9
                     LYM001                     8
                     MAM006                     8
                     ADM019                     7
                     IMG007                     7
                     CAR011                     6
                     URN002                     6
                     IMG002                     5
                     MAM010                     5
                     RES005                     5
                     URN001                     5
                     HEP001                     4
                     IMG009                     4
                     MAM007                     4
                     MST001                     4
                     MST004                     4
                     URN004                     4
                     ADM005                     3
                     ADM007                     3
                     CAR008                     3
                     CAR017                     3
                     CAR029                     3
                     ENT001                     3
                     ENT015                     3
                     GIS017                     3
                     MAM008                     3
                     MAM011                     3
                     MRS004                     3
                     MST002                     3
                     MST005                     3
                     MST015                     3
                     MST028                     3
                     PGN002                     3
                     RES001                     3
                     SKB006                     3
                     URN003                     3
                     URN005                     3
                     ADM010                     2
                     ADM011                     2
                     ADM014                     2
                     ADM020                     2
                     CNS002                     2
                     ENT002                     2
                     FRS015                     2
                     GIS005                     2
                     GIS025                     2
